gpc_category_code,gpc_category_name,tricket_sub_category_id,status,created_at,updated_at
10000005,Legumes | Não preparados | Não processados Congelados,,PENDENT,2025-08-05 09:18:07.753705+00,2025-08-05 09:18:07.753705+00
10000016,Peixe | Preparado | Processado Perecível,,PENDENT,2025-08-05 09:03:14.19646+00,2025-08-05 09:03:14.19646+00
10000026,Leite / Substitutos do leite (Não perecível),,PENDENT,2025-08-05 09:05:32.953936+00,2025-08-05 09:05:32.953936+00
10000043,Açúcar / Substitutos do Açúcar (Não perecível),,PENDENT,2025-08-04 18:04:35.739354+00,2025-08-04 18:04:35.739354+00
10000045,Chocolate / Substitutos do Chocolate para doces,,PENDENT,2025-08-08 12:24:21.655983+00,2025-08-08 12:24:21.655983+00
10000047,Doces de Confeitaria Substitutos/Doces,,PENDENT,2025-08-05 09:14:11.656524+00,2025-08-05 09:14:11.656524+00
10000049,Ervas / Temperos (Não perecíveis),,PENDENT,2025-08-05 09:28:18.223938+00,2025-08-05 09:28:18.223938+00
10000054,Molhos / Condimentos / Coberturas/Patês/Marinadas (perecíveis),,PENDENT,2025-08-06 12:48:09.480568+00,2025-08-06 12:48:09.480568+00
10000055,Molhos - Culinários (Perecíveis),,PENDENT,2025-08-04 18:06:42.201527+00,2025-08-04 18:06:42.201527+00
10000057,Molhos - Culinários (Não perecíveis),,PENDENT,2025-08-04 18:06:18.195604+00,2025-08-04 18:06:18.195604+00
10000111,Café / Substitutos do café - Grãos / Moído,,PENDENT,2025-08-06 12:42:29.493799+00,2025-08-06 12:42:29.493799+00
10000114,Café - Líquido/Prontos para Beber,,PENDENT,2025-08-06 12:52:48.807566+00,2025-08-06 12:52:48.807566+00
10000115,Café - Instantâneo Solúvel,,PENDENT,2025-08-06 12:36:46.81756+00,2025-08-06 12:36:46.81756+00
10000116,Chá - Saquinhos / A granel,,PENDENT,2025-08-08 12:20:14.181935+00,2025-08-08 12:20:14.181935+00
10000117,Chá | Instantâneo,,PENDENT,2025-08-08 12:08:26.172032+00,2025-08-08 12:08:26.172032+00
10000118,Chá - Líquido/Pronto para beber,,PENDENT,2025-08-08 12:21:48.679224+00,2025-08-08 12:21:48.679224+00
10000158,Insumos para Assar/Cozinhar (Não Perecível),,PENDENT,2025-08-04 20:05:09.301269+00,2025-08-04 20:05:09.301269+00
10000159,Cerveja,,PENDENT,2025-08-08 12:12:40.592437+00,2025-08-08 12:12:40.592437+00
10000160,Bolachas/ Biscoitos (Perecíveis),,PENDENT,2025-08-05 09:30:15.218664+00,2025-08-05 09:30:15.218664+00
10000161,Biscoitos / Bolachas (Não perecíveis),,PENDENT,2025-08-05 09:28:25.368201+00,2025-08-05 09:28:25.368201+00
10000172,Bolos - Doces - (Não perecíveis),,PENDENT,2025-08-05 09:39:47.352671+00,2025-08-05 09:39:47.352671+00
10000177,Batatinhas/Salgadinhos/Combinação de lanches - Natural / Extrudido,,PENDENT,2025-08-04 20:03:19.946946+00,2025-08-04 20:03:19.946946+00
10000178,Chocolate / Cacau / Malte - Não pronto para beber,,PENDENT,2025-08-04 18:02:24.716794+00,2025-08-04 18:02:24.716794+00
10000191,Bebidas lácteas - Prontas para consumo (perecível),,PENDENT,2025-08-05 09:22:16.16053+00,2025-08-05 09:22:16.16053+00
10000192,Bebidas lácteas - Prontas para consumo (sem refrigeração),,PENDENT,2025-08-04 18:03:52.207986+00,2025-08-04 18:03:52.207986+00
10000201,Bebidas aromatizadas - Prontas para beber,,PENDENT,2025-08-04 14:12:20.305559+00,2025-08-04 14:12:20.305559+00
10000203,Farinha | Cereal | Leguminosas Não perecível,,PENDENT,2025-08-04 20:04:29.767521+00,2025-08-04 20:04:29.767521+00
10000206,Frutas - Preparadas/Processadas (Não perecíveis),,PENDENT,2025-08-05 09:17:03.426326+00,2025-08-05 09:17:03.426326+00
10000207,Misturas de Frutas/Nozes/Sementes - Preparadas/Processadas (Não perecíveis),,PENDENT,2025-08-05 09:27:21.131+00,2025-08-05 09:27:21.131+00
10000223,Bebidas à base de suco - Prontas para beber (Não perecíveis),,PENDENT,2025-08-05 09:26:49.132412+00,2025-08-05 09:26:49.132412+00
10000232,Água engarrafada,,PENDENT,2025-08-04 18:07:05.777042+00,2025-08-04 18:07:05.777042+00
10000235,Nozes/Sementes - Preparados/Processados (Perecíveis),,PENDENT,2025-08-05 09:23:21.101365+00,2025-08-05 09:23:21.101365+00
10000236,Nozes/Sementes - Preparados/Processados (descascados),,PENDENT,2025-08-05 09:23:11.670616+00,2025-08-05 09:23:11.670616+00
10000239,Azeitonas (Não perecíveis),,PENDENT,2025-08-05 09:08:54.276296+00,2025-08-05 09:08:54.276296+00
10000256,Marisco Preparado / Processado (Congelado),,PENDENT,2025-08-06 12:49:01.380528+00,2025-08-06 12:49:01.380528+00
10000263,Bebidas alcoólicas,,PENDENT,2025-08-04 18:10:06.440414+00,2025-08-04 18:10:06.440414+00
10000272,Legumes | Preparados | Processados Não perecíveis,,PENDENT,2025-08-05 09:20:34.145273+00,2025-08-05 09:20:34.145273+00
10000280,Molhos/Condimentos/Coberturas/Patês Salgados/Marinadas (Não perecíveis),,PENDENT,2025-08-04 20:05:42.368767+00,2025-08-04 20:05:42.368767+00
10000284,Produtos à Base de Cereal - Prontos para Consumo (Não perecíveis),,PENDENT,2025-08-08 12:11:01.411954+00,2025-08-08 12:11:01.411954+00
10000287,Barras de Cereais/Granola,,PENDENT,2025-08-05 09:16:38.455709+00,2025-08-05 09:16:38.455709+00
