id,sub_category_id,brand_id,name,description,sku_base,attributes,status,gtin,gpc_category_code,ncm_code,cest_code,net_content,net_content_unit,gross_weight,net_weight,weight_unit,height,width,depth,dimension_unit,country_of_origin_code,gs1_company_name,gs1_company_gln,created_by_user_id,created_at,updated_at
002685da-c4e3-4381-abf3-8d9eb890d7b7,,7d2ba9ad-a9a3-454f-a90d-1c8a736c761a,Achocolatado em po 700g Chocky Italac,Achocolatado em po 700g Chocky Italac,,,ACTIVE,07898080640956,10000178,1806.90.00,17.006.00,0.7,KGM,0.7433,,KGM,,,,,BR,GOIASMINAS IND DE LATICINIOS LTDA,,,2025-08-04 18:02:24.791203+00,2025-08-04 18:02:24.791203+00
00fcd4e7-8bdd-4842-bd22-2d389b177c22,,3291af84-6561-49ac-a755-8c1019361c9a,AGUARDENTE PITU AMARELINHA LATA 350ML,AGUARDENTE PITU AMARELINHA LATA 350ML,,,ACTIVE,07896607100860,10000263,2208.40.00,02.004.00,350,MLT,0.349,,KGM,,,,,BR,ENGARRAFAMENTO PITU LTDA,,,2025-08-04 19:33:00.24174+00,2025-08-04 19:33:00.24174+00
01a21c22-46a1-4454-a16c-200a1b807c4d,,9ca8f5c7-07dc-4a10-9600-a366f9ae99fb,"CAPSULA CAFE 3C ORG ALUM V2 10X10X5,6G","CAPSULA CAFE 3C ORG ALUM V2 10X10X5,6G",,,ACTIVE,07896045111305,10000114,0901.21.00,17.096.04,0.056,KGM,0.094,,KGM,,,,,BR,CAFE TRES CORACOES S.A.,,,2025-08-06 12:53:13.349565+00,2025-08-06 12:53:13.349565+00
01e55e0e-5438-4369-b24f-412a7855154e,,f79c1eb5-b094-4d92-89c2-4f2ebbd24ae2,MAIZENA CREMOGEMA MIST CHOC 180G,MAIZENA CREMOGEMA MIST CHOC 180G,,,ACTIVE,07891150068278,10000590,1901.10.30,17.015.00,180,GRM,0.214,,KGM,,,,,BR,UNILEVER BRASIL LTDA,,,2025-08-04 20:03:48.420718+00,2025-08-04 20:03:48.420718+00
021165f8-1af8-4c40-89c0-9ad22e5a94a8,,de3030d4-d63e-4f37-9eba-010bb17c6dce,CATCHUP MARATA TRAD PET 400G,CATCHUP MARATA TRAD PET 400G,,,ACTIVE,07898286190583,10006325,2103.20.10,17.041.00,0.4,KGM,0.458,,KGM,,,,,BR,MARATA IND DE AGUARDENTES LTDA,,,2025-08-08 12:10:14.841894+00,2025-08-08 12:10:14.841894+00
024a20e1-a6fd-4130-8755-5571649ce0ac,,9ca8f5c7-07dc-4a10-9600-a366f9ae99fb,CAFE TM 3C GOURM DARK 4S 20X250G,CAFE TM 3C GOURM DARK 4S 20X250G,,,ACTIVE,07896045106851,10008179,0901.21.00,17.096.00,0.25,KGM,0.293,,KGM,,,,,BR,CAFE TRES CORACOES S.A.,,,2025-08-06 12:44:48.473179+00,2025-08-06 12:44:48.473179+00
029984fe-a6d6-413c-b7dd-811ccf76bd18,,1f3e28b4-7360-410c-805e-2b16e34999fb,"B.A.M Tequileiro Licor de Tequila c/ Morango 750 ml ","B.A.M Tequileiro Licor de Tequila c/ Morango 750 ml ",,,ACTIVE,07897736411506,10000263,2206.00.90,02.999.00,750,MLT,1.406,,KGM,,,,,BR,DISTR DE BEBIDAS F ANTONIO CHIAMULERA LTDA,,,2025-08-04 20:07:55.441149+00,2025-08-04 20:07:55.441149+00
03ba49ce-0d6a-400b-ac04-9346fe09294c,,cfd33052-0c77-4c57-85c5-cbc9392ec95b,CACHACA SAO FRANCISCO 12X970 ML,CACHACA SAO FRANCISCO 12X970 ML,,,ACTIVE,07891050001108,10000263,2208.40.00,02.004.00,970,MLT,16.88,,KGM,,,,,BR,PERNOD RICARD BRASIL IND E COM LTDA,,,2025-08-06 12:35:38.802199+00,2025-08-06 12:35:38.802199+00
03ee7cb1-1c76-4e2b-8247-e16651709c27,,ae4fbbdb-dee7-486d-a7b6-4aa71a2bf6b7,BARRA DE CHOCOLATE AO LEITE EXTRA CREMOSO HERSHEY'S 82G,BARRA DE CHOCOLATE AO LEITE EXTRA CREMOSO HERSHEY'S 82G,,,ACTIVE,07899970402821,10000045,1806.32.10,17.003.00,0.082,KGM,0.084,,KGM,,,,,BR,HERSHEY DO BRASIL LTDA,,,2025-08-08 12:26:28.511141+00,2025-08-08 12:26:28.511141+00
05537ab3-ef63-4148-af9b-c7635f17bf15,,6a4ca67c-12ae-4747-a898-4de69a2c30c9,CAPSULA CAFE CAPP SC 8X10X11G,CAPSULA CAFE CAPP SC 8X10X11G,,,ACTIVE,07896045109517,10000115,2101.12.00,17.109.00,0.11,KGM,0.155,,KGM,,,,,BR,CAFE TRES CORACOES S.A.,,,2025-08-08 12:08:08.470552+00,2025-08-08 12:08:08.470552+00
