URL,Nome do Produto,Codigo de Barras,Data da Coleta
https://meggaatacadista.com.br/lombo-canadense-seara-kg-10010-13,Megga Atacadista,Não encontrado,2025-08-01T12:50:18.041203
https://meggaatacadista.com.br/frango-a-passarinha-levida-iqf-1kg-10021-13,FRANGO A PASSARINHA LEVIDA IQF 1KG,7898525450607,2025-08-01T12:50:22.018339
https://meggaatacadista.com.br/lenco-papel-fl-dupla-kleenex---10030-13,Megga Atacadista,Não encontrado,2025-08-01T12:50:24.049355
https://meggaatacadista.com.br/absorvente-interno-intimus-mini-8un---10051-13,Megga Atacadista,Não encontrado,2025-08-01T12:50:26.606721
https://meggaatacadista.com.br/absorvente-interno-intimus-medio-8un---10052-13,ABSORVENTE INTERNO INTIMUS MEDIO 8UN,7896007541867,2025-08-01T12:50:29.191062
https://meggaatacadista.com.br/absorvente-interno-intimus-super-8un---10053-13,ABSORVENTE INTERNO INTIMUS SUPER 8UN,7896007541874,2025-08-01T12:50:31.766180
https://meggaatacadista.com.br/pano-scott-duramax-rolo-un---10065-13,PANO SCOTT DURAMAX ROLO UN,7891172523328,2025-08-01T12:50:34.010076
https://meggaatacadista.com.br/protetor-diario-intimus-sens-fresc-15un-10097-13,PROTETOR DIARIO INTIMUS SENS FRESC 15UN,7896007540259,2025-08-01T12:50:36.303385
https://meggaatacadista.com.br/colonia-huggies-ext-suave-100ml-10123-13,COLONIA HUGGIES EXT SUAVE 100ML,7896018700383,2025-08-01T12:50:38.464536
https://meggaatacadista.com.br/ice-perestroika-limao-1l-10129-13,ICE PERESTROIKA LIMAO 1L,7897736409749,2025-08-01T12:50:40.693837
https://meggaatacadista.com.br/batata-tradicional--bat-9m-bem-brasil-25kg--10185-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:29.020985
https://meggaatacadista.com.br/queijo-prato-polenghi-inteiro-kg-aprox-3500-10215-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:31.279012
https://meggaatacadista.com.br/queijo-mussarela-polenghi-barra-kg-10216-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:33.153471
https://meggaatacadista.com.br/tempero-arisco-completo-com-pimenta-300g---10220-13,TEMPERO ARISCO COMPLETO COM PIMENTA 300G,7891700011006,2025-08-01T13:48:35.441314
https://meggaatacadista.com.br/bebida-de-soja-ades-pessego-1l---10234-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:37.149639
https://meggaatacadista.com.br/aguardente-51-tradicional-965ml-10265-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:39.094055
https://meggaatacadista.com.br/farinha-trigo-primor-com-fermento-1kg---10309-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:40.952535
https://meggaatacadista.com.br/farinha-trigo-primor-sem-fermento-1kg---10310-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:42.873972
https://meggaatacadista.com.br/cachaca-sagatiba-velha-brasil-700ml--10313-13,Cachaca Sagatiba Velha Brasil 700ml,7896010000269,2025-08-01T13:48:45.035754
https://meggaatacadista.com.br/mistura-queijo-cheddar-polenghi-fatiado-273kg-10314-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:46.889027
https://meggaatacadista.com.br/queijo-fat-cheddar-polenghi-227kg-10315-13,"QUEIJO FAT CHEDDAR POLENGHI 2,27KG",7891143018495,2025-08-01T13:48:49.003741
https://meggaatacadista.com.br/catchup-hellmans-trad-sqz-380g---10332-13,CATCHUP HELLMANS TRAD SQZ 380G,7891150027848,2025-08-01T13:48:51.242169
https://meggaatacadista.com.br/queijo-inteiro-prato-natville-kg-10340-13,QUEIJO INTEIRO PRATO NATVILLE KG,7898387120106,2025-08-01T13:48:53.485021
https://meggaatacadista.com.br/queijo-mussarela-natville-int-kg-aprox-3500-10341-13,Megga Atacadista,Não encontrado,2025-08-01T13:48:55.222548
https://meggaatacadista.com.br/requeijao-cremoso-light-natville-200g-10374-13,REQUEIJAO CREMOSO LIGHT NATVILLE 200G,7898387120175,2025-08-01T13:48:57.540539
https://meggaatacadista.com.br/ice-perestroika-morango-1l-10376-13,ICE PERESTROIKA MORANGO 1L,7897736409886,2025-08-01T13:48:59.832343
https://meggaatacadista.com.br/bebida-lactea-piracanjuba-morbanana-200ml---10427-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:02.906308
https://meggaatacadista.com.br/desodorante-rollon-rexona-bamboo-50ml-1054-13,DESODORANTE ROLL-ON REXONA BAMBOO 50ML,78924345,2025-08-01T13:49:05.389440
https://meggaatacadista.com.br/whisky-chivas-12-anos-50ml-10615-13,WHISKY CHIVAS 12 ANOS 50ML,80432400340,2025-08-01T13:49:07.711347
https://meggaatacadista.com.br/vinho-chileno-santa-helena-res-merlot-750ml---10618-13,VINHO CHILENO SANTA HELENA RES MERLOT 750ML,7804300121846,2025-08-01T13:49:09.983872
https://meggaatacadista.com.br/vinho-chileno-santa-helena-res-carm-750ml---10619-13,VINHO CHILENO SANTA HELENA RES CARM 750ML,7804300123512,2025-08-01T13:49:12.243163
https://meggaatacadista.com.br/vinho-chileno-santa-helena-res-cab-m-750ml-10620-13,VINHO CHILENO SANTA HELENA RES CAB M 750ML,7804300123871,2025-08-01T13:49:14.491538
https://meggaatacadista.com.br/vinho-chileno-gato-negro-carmenere-750ml-10622-13,Vinho Chileno Gato Negro Carmenere 750ml,7804300122805,2025-08-01T13:49:16.819970
https://meggaatacadista.com.br/vinho-chileno-gato-negro-caber-sv-tto-750ml--10623-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:18.663602
https://meggaatacadista.com.br/vinho-chileno-gato-negro-mer-tto-seco-750ml-10624-13,VINHO CHILENO GATO NEGRO MER TTO SECO 750ML,7804300120603,2025-08-01T13:49:20.889126
https://meggaatacadista.com.br/vinho-chileno-gato-negro-malbec-tto-750ml-10626-13,Vinho Chileno Gato Negro Malbec Tto 750ml,7798081661939,2025-08-01T13:49:23.025917
https://meggaatacadista.com.br/vinho-argentino-trapiche-viney-malb-fino-750ml---10628-13,VINHO ARGENTINO TRAPICHE VINEY MALB FINO 750ML,7790240017045,2025-08-01T13:49:25.233581
https://meggaatacadista.com.br/vinho-argentino-trapiche-viney-cabernet-750ml---10629-13,VINHO ARGENTINO TRAPICHE VINEY CABERNET 750ML,7790240072150,2025-08-01T13:49:27.526852
